track_id,track_title,is_career,course_count,total_chapters,total_exercises,total_videos,total_xp,avg_xp_per_course,avg_time_hours,total_duration_hours,datasets_count,programming_languages,course_difficulty_levels,predominant_difficulty,course_titles,instructors,participant_count
1,AI Agent Fundamentals,No,3,8,82,28,5350.0,1783.3333333333333,1.6666666666666667,4.0,2,"python,r",1,1,"Building Scalable Agentic Systems,Generative AI for Business,Introduction to AI Agents","Adel Nehme,Carl Rosseel,Korey Stegared-Pace","1,319"
2,AI Business Fundamentals,No,7,21,260,82,17250.0,2464.285714285714,1.5714285714285714,11.0,2,r,1,1,"AI Ethics,Artificial Intelligence (AI) Strategy,Generative AI for Business,Implementing AI Solutions in Business,Large Language Models for Business,Understanding Artificial Intelligence,Understanding ChatGPT","Carl Rosseel,Iason Prassides,Iván P.C.,Jacob Marquez,James Chapman,Joe Franklin,Vidhi Chugh","25,877"
3,AI Fundamentals,No,6,20,237,76,15400.0,2566.6666666666665,1.6666666666666667,10.0,2,r,1,1,"AI Ethics,Generative AI Concepts,Large Language Models (LLMs) Concepts,Understanding Artificial Intelligence,Understanding ChatGPT,Understanding Machine Learning","Daniel Tedesco,Hadrien Lacroix,Iván P.C.,James Chapman,Joe Franklin,Lis Sulmont,Sara Billen,Vidhi Chugh","167,748"
4,AWS Cloud Practitioner (CLF-C02),No,4,12,147,47,10250.0,2562.5,2.5,10.0,0,r,1,1,"AWS Cloud Technology and Services Concepts,AWS Concepts,AWS Security and Cost Management Concepts,Understanding Cloud Computing","Amar Suchak,Dev Bhosale,Lis Sulmont,Rahulraj Singh,Sara Billen","9,351"
5,Alteryx Fundamentals,No,4,14,89,33,6950.0,1737.5,2.5,10.0,6,python,1,1,"Data Manipulation in Alteryx,Data Preparation in Alteryx,Data Transformation in Alteryx,Introduction to Alteryx","Behrang Behjoo,Deanna Sanchez,Iason Prassides,Joshua Honken","10,830"
6,Analyzing Genomic Data in R,No,4,16,191,58,14750.0,3687.5,4.0,16.0,10,r,"2,3",2,"ChIP-seq with Bioconductor in R,Differential Expression Analysis with limma in R,Introduction to Bioconductor in R,RNA-Seq with Bioconductor in R","James Chapman,John Blischak,Mary Piper,Paula Martinez,Peter Humburg","7,952"
7,Applied Finance in Python,No,4,16,216,58,17550.0,4387.5,4.0,16.0,16,python,"2,3",2,"Credit Risk Modeling in Python,GARCH Models in Python,Introduction to Portfolio Risk Management in Python,Quantitative Risk Management in Python","Chelsea Yang,Dakota Wixom,Jamsheed Shorish,Michael Crabtree","12,746"
8,Applied Finance in R,No,6,27,333,99,26050.0,4341.666666666667,4.333333333333333,26.0,12,r,"1,2,3",2,"Bond Valuation and Analysis in R,Credit Risk Modeling in R,Equity Valuation in R,Financial Trading in R,GARCH Models in R,Quantitative Risk Management in R","Alexander J. McNeil,Clifford Ang,Ilya Kipnis,Kris Boudt,Lore Dirick","2,140"
9,Applied Statistics in Python,No,4,16,195,58,15750.0,3937.5,4.0,16.0,17,python,"2,3",2,"A/B Testing in Python,Bayesian Data Analysis in Python,Experimental Design in Python,Foundations of Inference in Python","James Chapman,Michał Oleszak,Moe Lotfy,Paul Savala,PhD","3,100"
10,Artificial Intelligence (AI) Leadership,No,4,12,139,46,8300.0,2075.0,1.5,6.0,0,r,1,1,"AI Security and Risk Management,Explainable Artificial Intelligence (XAI) Concepts,Monetizing Artificial Intelligence,Responsible AI Practices","Angeline Corvaglia,Esther Montoya van Egerschot,Folkert Stijnman,Vin Vashishta","5,997"
